roi	label	name	size	symmetry	laterality	x	y	z	neighbour	parent	overlap
35	R_IPsul	right_INTRAPARIETAL_SULCUS	233	0.0	-1.0	38.37	-52.21	47.69	[121, 132, 143, 163, 169, 176, 200]	20	1.0
36	R_PINS_v	right_POSTERIOR_INSULA_ventral	205	0.0	-1.0	41.34	-5.45	-4.72	[21, 23, 40, 44, 53, 57, 92, 150, 154, 170, 182, 206]	21	1.0
37	L_PINS_v	left_POSTERIOR_INSULA_ventral	215	0.0	1.0	-43.35	-9.0	-2.32	[20, 39, 43, 93, 142, 149, 153, 155, 171, 205, 207]	21	1.0
38	L_MFgyr_pc	left_MIDDLE_FRONTAL_GYRUS_posterocaudal	208	0.0	1.0	-41.19	1.19	47.89	[12, 94, 160, 181, 189, 195]	22	1.0
39	L_AINS_pd	left_ANTERIOR_INSULA_posterodorsal	78	0.0	1.0	-38.65	6.35	3.58	[20, 37, 43, 93, 148, 207]	23	1.0
40	R_AINS_pd	right_ANTERIOR_INSULA_posterodorsal	194	0.0	-1.0	44.24	6.53	6.61	[21, 23, 36, 44, 53, 92, 103, 134, 147, 154, 170, 190]	23	1.0
41	R_PCcor	right_POSTERIOR_CINGULATE_CORTEX	210	0.0	-1.0	10.16	-43.63	35.77	[30, 48, 84, 121, 143, 166, 178, 203]	24	1.0
42	L_PCcor	left_POSTERIOR_CINGULATE_CORTEX	152	0.0	1.0	-10.24	-44.68	36.43	[29, 47, 83, 165, 204]	24	1.0
43	L_PUT_p	left_PUTAMEN_posterior	339	0.0	1.0	-27.82	-0.73	3.82	[4, 16, 20, 22, 37, 39, 54, 64, 73, 79, 93, 125, 135, 148, 171]	25	1.0
44	R_PUT_p	right_PUTAMEN_posterior	279	0.0	-1.0	27.61	-3.86	4.46	[17, 23, 36, 40, 63, 74, 80, 92, 124, 147, 170]	25	1.0
45	R_CNGsul_p	right_CINGULATE_SULCUS_posterior	117	0.0	-1.0	6.82	1.82	40.33	[9, 11, 48, 49, 203, 210]	26	1.0
46	L_CNGsul_p	left_CINGULATE_SULCUS_posterior	129	0.0	1.0	-9.3	2.77	41.23	[8, 10, 47, 50, 59, 204, 209]	26	1.0
47	L_PCcor	left_POSTERIOR_CINGULATE_CORTEX	175	0.0	1.0	-6.67	-17.78	31.65	[10, 29, 42, 46, 126, 204]	27	1.0
48	R_PCcor	right_POSTERIOR_CINGULATE_CORTEX	81	0.0	-1.0	5.44	-19.22	29.89	[11, 30, 41, 45, 203]	27	1.0
49	R_PSMcor_p	right_PRE_SUPPLEMENTARY_MOTOR_CORTEX_posterior	179	0.0	-1.0	8.46	-2.37	60.01	[1, 9, 45, 117, 120, 194, 210]	28	1.0
50	L_PSMcor_p	left_PRE_SUPPLEMENTARY_MOTOR_CORTEX_posterior	132	0.0	1.0	-7.91	-5.18	62.82	[2, 8, 46, 118, 119, 195, 209]	28	1.0
51	L_MVISnet_av	left_MEDIAL_VISUAL_NETWORK_anteroventral	162	0.0	1.0	-13.37	-58.43	-4.52	[5, 33, 70, 77, 85, 90, 126, 138, 174, 183]	29	1.0
52	R_MVISnet_av	right_MEDIAL_VISUAL_NETWORK_anteroventral	165	0.0	-1.0	16.36	-56.4	-4.65	[6, 34, 69, 74, 78, 86, 91, 127, 137, 175]	29	1.0
53	R_PIsul	right_PERI_INSULAR_SULCUS	162	0.0	-1.0	32.17	17.93	-15.31	[21, 23, 36, 40, 107, 124, 134, 136, 147, 150, 188]	30	1.0
54	L_PIsul	left_PERI_INSULAR_SULCUS	88	0.0	1.0	-31.91	18.84	-16.28	[20, 22, 43, 106, 135, 148, 149, 187, 207]	30	1.0
55	THAL_d	left_THALAMUS_dorsal	193	0.0	1.0	-10.74	-14.59	9.36	[16, 64]	31	1.0
56	R_THAL_d	right_THALAMUS_dorsal	252	0.0	-1.0	11.35	-17.25	9.26	[17, 23, 63, 74, 80]	31	1.0
57	R_MTgyr_a	right_MIDDLE_TEMPORAL_GYRUS_anterior	399	0.0	-1.0	53.12	-1.2	-23.12	[36, 123, 150, 154, 156, 182, 192, 206]	32	1.0
58	L_ANGgyr	left_ANGULAR_GYRUS	318	0.0	1.0	-52.46	-57.35	17.49	[7, 89, 173, 180, 196, 205]	33	1.0
59	L_DMPFcor_p	left_DORSOMEDIAL_PREFRONTAL_CORTEX_posterior	157	0.0	1.0	-7.8	31.08	39.79	[10, 46, 94, 96, 110, 198, 209]	34	1.0
60	R_DMPFcor_p	right_DORSOMEDIAL_PREFRONTAL_CORTEX_posterior	169	0.0	-1.0	7.28	29.92	40.64	[11, 97, 109, 158, 197, 210]	34	1.0
61	L_VMPFcor_p	left_VENTRAL_MEDIAL_PREFRONTAL_CORTEX_posterior	116	0.0	1.0	-6.49	37.59	-12.09	[4, 106, 115, 135, 198]	35	1.0
62	R_VMPFcor_p	right_VENTRAL_MEDIAL_PREFRONTAL_CORTEX_posterior	162	0.0	-1.0	7.8	45.31	-8.81	[97, 107, 116, 131, 136, 151, 188, 197]	35	1.0
63	R_THAL_v	right_THALAMUS_ventral	163	0.0	-1.0	14.65	-18.6	-0.31	[6, 23, 44, 56, 74, 124]	36	1.0
64	THAL_v	left_THALAMUS_ventral	182	0.0	1.0	-14.36	-23.43	3.59	[5, 22, 43, 55, 73]	36	1.0
65	L_R_PCsul	left_right_POSTCENTRAL_SULCUS	267	0.0	1.0	-41.56	-34.16	44.74	[129, 133, 144, 160, 164, 189, 196, 199]	37	1.0
66	L_MFgyr_a	left_MIDDLE_FRONTAL_GYRUS_anterior	421	0.0	1.0	-33.93	41.3	28.48	[12, 94, 152, 162, 181]	38	1.0
67	R_LVISnet_p	right_LATERAL_VISUAL_NETWORK_posterior	246	0.0	-1.0	43.16	-73.26	-1.12	[75, 87, 105, 140, 172, 175, 179]	39	1.0
68	L_LVISnet_p	left_LATERAL_VISUAL_NETWORK_posterior	228	0.0	1.0	-42.28	-78.51	6.55	[27, 76, 88, 89, 98, 104, 141, 173, 174, 180, 183]	39	1.0
69	R_VVISnet_m	right_VENTRAL_VISUAL_NETWORK_medial	154	0.0	-1.0	9.43	-74.15	-6.69	[6, 52, 72, 78, 86, 91, 127, 146, 175, 184, 208]	40	1.0
70	L_VVISnet_m	left_VENTRAL_VISUAL_NETWORK_medial	149	0.0	1.0	-13.85	-72.19	-5.46	[5, 33, 51, 71, 77, 88, 90, 138, 174, 183]	40	1.0
71	L_N	left_NOISE	216	0.0	1.0	-18.24	-93.29	-14.99	[70, 77, 104, 141, 145, 174, 183]	41	1.0
72	R_N	right_NOISE	171	0.0	-1.0	17.63	-93.4	-15.21	[69, 78, 105, 140, 146, 184]	41	1.0
73	L_HIPP	left_HIPPOCAMPUS	215	0.0	1.0	-28.63	-29.49	-7.2	[5, 43, 64, 125, 126, 138, 193, 201]	42	1.0
74	R_HIPP	right_HIPPOCAMPUS	167	0.0	-1.0	26.6	-32.85	-5.04	[6, 44, 52, 56, 63, 124, 127, 137, 192, 202]	42	1.0
75	R_LVISnet_DP	right_LATERAL_VISUAL_NETWORK_dorsoposterior	325	0.0	-1.0	33.76	-81.65	18.61	[28, 67, 99, 101, 105, 121, 172]	43	1.0
76	L_LVISnet_DP	left_LATERAL_VISUAL_NETWORK_dorsoposterior	147	0.0	1.0	-33.24	-87.73	19.12	[27, 68, 89, 98, 100, 104, 173, 180]	43	1.0
77	L_CER6_d	left_CEREBELLUM_VI_dorsal	186	0.0	1.0	-18.06	-62.85	-19.77	[14, 51, 70, 71, 85, 95, 138, 145, 157, 167, 174, 201]	44	1.0
78	R_CER6_d	right_CEREBELLUM_VI_dorsal	220	0.0	-1.0	17.39	-65.53	-19.86	[15, 52, 69, 72, 86, 137, 140, 146, 168, 175, 208]	44	1.0
79	L_CAUDN	left_CAUDATE	142	0.0	1.0	-11.09	11.3	6.37	[4, 16, 22, 43, 135]	45	1.0
80	R_CAUDN	right_CAUDATE	121	0.0	-1.0	11.16	8.82	10.72	[3, 17, 23, 44, 56, 136]	45	1.0
81	L_CER7b_l	left_CEREBELLUM_VIIb_lateral	207	0.0	1.0	-20.78	-64.35	-56.57	[14, 18, 24, 31, 95, 157, 185]	46	1.0
82	R_CER7b_l	right_CEREBELLUM_VIIb_lateral	188	0.0	-1.0	18.22	-61.49	-56.34	[19, 25, 32, 108, 113, 186]	46	1.0
83	L_PRC_d	left_PRECUNEUS_dorsal	104	0.0	1.0	-6.72	-51.54	48.65	[29, 42, 111, 133, 144, 165, 204]	47	1.0
84	R_PRC_d	right_PRECUNEUS_dorsal	165	0.0	-1.0	6.98	-54.04	50.27	[30, 41, 112, 132, 143, 166, 203]	47	1.0
85	L_CER5	left_CEREBELLUM_I-V	358	0.0	1.0	-15.13	-45.74	-23.64	[5, 18, 51, 77, 114, 138, 167, 174, 201]	48	1.0
86	R_CER5	right_CEREBELLUM_I-V	353	0.0	-1.0	14.5	-45.67	-23.53	[6, 19, 52, 69, 78, 113, 137, 168, 175, 202]	48	1.0
87	R_FUSgyr_vl	right_FUSIFORM_GYRUS_ventrolateral	183	0.0	-1.0	49.93	-56.69	-8.74	[67, 137, 140, 175, 179, 182, 192, 202]	49	1.0
88	L_FUSgyr_vl	left_FUSIFORM_GYRUS_ventrolateral	242	0.0	1.0	-45.11	-60.85	-7.88	[68, 70, 138, 141, 142, 174, 180, 201]	49	1.0
89	L_DVIS_v	left_DORSAL_VISUAL_STREAM_ventral	332	0.0	1.0	-29.83	-72.86	31.94	[7, 27, 33, 58, 68, 76, 98, 100, 129, 144, 165, 173, 177, 180, 196]	50	1.0
90	L_MVISnet_p	left_MEDIAL_VISUAL_NETWORK_posterior	217	0.0	1.0	-9.82	-79.76	8.34	[5, 27, 29, 33, 51, 70, 98, 100, 177, 183]	51	1.0
91	R_MVISnet_p	right_MEDIAL_VISUAL_NETWORK_posterior	180	0.0	-1.0	11.87	-75.27	8.43	[28, 34, 52, 69, 99, 101, 127, 175, 178, 184]	51	1.0
92	R_PINS_d	right_POSTERIOR_INSULA_dorsal	226	0.0	-1.0	47.04	-7.15	10.27	[36, 40, 44, 103, 154, 163, 170, 190]	52	1.0
93	L_PINS_d	left_POSTERIOR_INSULA_dorsal	315	0.0	1.0	-47.3	-3.96	11.96	[37, 39, 43, 148, 153, 164, 171, 181, 189, 205, 207]	52	1.0
94	L_SFsul_a	left_SUPERIOR_FRONTAL_SULCUS_anterior	731	0.0	1.0	-22.96	32.44	43.92	[12, 38, 59, 66, 96, 110, 152, 162, 195, 198, 209]	53	1.0
95	L_CERCR2_a	left_CEREBELLUM_CRUSII_anterior	403	0.0	1.0	-40.3	-60.89	-42.97	[31, 77, 81, 145, 157, 167, 185]	54	1.0
96	L_DMPFcor_ac	left_DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal	301	0.0	1.0	-7.85	51.74	21.14	[10, 59, 94, 110, 115, 152, 162, 198]	55	1.0
97	R_DMPFcor_ac	right_DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal	256	0.0	-1.0	7.31	52.2	22.01	[60, 62, 102, 109, 116, 151, 158, 197]	55	1.0
98	L_MDVISnet_a	left_MEDIODORSAL_VISUAL_NETWORK_anterior	178	0.0	1.0	-17.44	-79.39	29.18	[27, 33, 68, 76, 89, 90, 100, 165, 177]	56	1.0
99	R_MDVISnet_a	right_MEDIODORSAL_VISUAL_NETWORK_anterior	169	0.0	-1.0	19.26	-75.75	27.25	[28, 34, 75, 91, 101, 121, 166, 172, 178]	56	1.0
100	L_MDVISnet_p	left_MEDIODORSAL_VISUAL_NETWORK_posterior	315	0.0	1.0	-12.75	-88.37	26.37	[27, 76, 89, 90, 98, 104, 165, 177, 183]	57	1.0
101	R_MDVISnet_p	right_MEDIODORSAL_VISUAL_NETWORK_posterior	312	0.0	-1.0	12.64	-86.55	29.96	[28, 75, 91, 99, 105, 121, 166, 172, 178, 184]	57	1.0
102	R_MFgyr_a	right_MIDDLE_FRONTAL_GYRUS_anterior	373	0.0	-1.0	27.55	46.32	23.13	[97, 103, 109, 139, 147, 151, 158, 159, 191, 197]	58	1.0
103	R_IFsul	right_INFERIOR_FRONTAL_SULCUS	526	0.0	-1.0	44.72	16.73	23.98	[40, 92, 102, 134, 147, 158, 159, 161, 170, 190, 191]	59	1.0
104	L_PVISnet_l	left_POSTERIOR_VISUAL_NETWORK_lateral	278	0.0	1.0	-29.7	-93.77	0.51	[27, 68, 71, 76, 100, 141, 174, 183]	60	1.0
105	R_PVISnet_l	right_POSTERIOR_VISUAL_NETWORK_lateral	362	0.0	-1.0	30.7	-92.78	0.69	[28, 67, 72, 75, 101, 140, 146, 175, 184]	60	1.0
106	L_MORBgyr	left_MEDIAL_ORBITAL_GYRUS	269	0.0	1.0	-11.59	36.58	-19.69	[22, 54, 61, 115, 130, 135, 187]	61	1.0
107	R_MORBgyr	right_MEDIAL_ORBITAL_GYRUS	200	0.0	-1.0	9.89	33.16	-19.76	[3, 23, 53, 62, 116, 131, 136, 188, 197]	61	1.0
108	R_CERCR2_a	right_CEREBELLUM_CRUSII_anterior	455	0.0	-1.0	41.5	-60.93	-44.22	[32, 82, 146, 168, 186, 208]	62	1.0
109	R_SFgyr_ad	right_SUPERIOR_FRONTAL_GYRUS_anterodorsal	312	0.0	-1.0	12.65	40.72	47.88	[60, 97, 102, 151, 158, 191, 210]	63	1.0
110	L_SFgyr_ad	left_SUPERIOR_FRONTAL_GYRUS_anterodorsal	188	0.0	1.0	-8.43	33.52	53.48	[59, 94, 96, 209]	63	1.0
111	L_PRC_d	left_PRECUNEUS_dorsal	142	0.0	1.0	-7.84	-59.39	65.73	[2, 83, 118, 129, 133, 144, 165, 199, 204]	64	1.0
112	R_PRC_d	right_PRECUNEUS_dorsal	149	0.0	-1.0	7.41	-55.26	66.98	[1, 84, 117, 121, 132, 143, 166, 200, 203]	64	1.0
113	R_CER9_m	right_CEREBELLUM_IX_middle	231	0.0	-1.0	11.9	-47.03	-44.13	[6, 19, 25, 82, 86, 168, 186]	65	1.0
114	L_CER9_m	left_CEREBELLUM_IX_middle	211	0.0	1.0	-12.31	-47.15	-42.62	[5, 18, 24, 85, 167, 185]	65	1.0
115	L_VMPFcor_a	left_VENTRAL_MEDIAL_PREFRONTAL_CORTEX_anterior	165	0.0	1.0	-8.05	59.49	-7.35	[61, 96, 106, 130, 152, 162, 198]	66	1.0
116	R_VMPFcor_a	right_VENTRAL_MEDIAL_PREFRONTAL_CORTEX_anterior	124	0.0	-1.0	7.35	62.17	-7.81	[62, 97, 107, 131, 151]	66	1.0
117	R_MOTnet_m	right_SOMATOMOTOR_NETWORK_medial	153	0.0	-1.0	8.24	-25.31	60.61	[1, 9, 49, 112, 120, 194, 200, 203]	67	1.0
118	L_MOTnet_m	left_SOMATOMOTOR_NETWORK_medial	190	0.0	1.0	-7.63	-25.28	63.07	[2, 8, 50, 111, 119, 195, 199, 204]	67	1.0
119	L_MOTnet_ml	left_SOMATOMOTOR_NETWORK_mediolateral	309	0.0	1.0	-22.58	-26.28	65.32	[2, 8, 13, 50, 118, 133, 160, 195, 199, 204, 209]	68	1.0
120	R_MOTnet_ml	right_SOMATOMOTOR_NETWORK_mediolateral	247	0.0	-1.0	21.07	-24.28	66.7	[1, 9, 49, 117, 128, 194, 200, 203, 210]	68	1.0
121	R_DVIS_v	right_DORSAL_VISUAL_STREAM_ventral	415	0.0	-1.0	26.12	-70.43	43.94	[35, 41, 75, 99, 101, 112, 143, 166, 169, 172]	69	1.0
122	L_TP	left_TEMPORAL_POLE	472	0.0	1.0	-39.82	4.38	-40.21	[149, 155, 193]	70	1.0
123	R_TP	right_TEMPORAL_POLE	281	0.0	-1.0	35.99	6.98	-42.14	[57, 124, 150, 192]	70	1.0
124	R_AMY	right_AMYGDALA	308	0.0	-1.0	24.1	-8.05	-20.06	[23, 44, 53, 63, 74, 123, 136, 137, 150, 192, 202]	71	1.0
125	L_AMY	left_AMYGDALA	244	0.0	1.0	-23.5	-6.73	-19.7	[22, 43, 73, 135, 138, 149, 187, 193, 201]	71	1.0
126	L_POsul_v	left_PARIETO_OCCIPITAL_SULCUS_ventral	166	0.0	1.0	-13.93	-48.24	7.2	[5, 29, 33, 47, 51, 73, 138, 177]	72	1.0
127	R_POsul_v	right_PARIETO_OCCIPITAL_SULCUS_ventral	158	0.0	-1.0	11.13	-49.89	7.0	[6, 30, 34, 52, 69, 74, 91, 178]	72	1.0
128	R_MOTnet_dl	right_SOMATOMOTOR_NETWORK_dorsolateral	410	0.0	-1.0	37.27	-20.68	59.74	[120, 161, 176, 190, 194, 200]	73	1.0
129	L_IPsul	left_INTRAPARIETAL_SULCUS	458	0.0	1.0	-37.57	-57.82	49.71	[7, 65, 89, 111, 133, 144, 164, 165, 173, 196, 199]	74	1.0
130	L_FP	left_FRONTAL_POLE	291	0.0	1.0	-23.78	56.57	-12.37	[106, 115, 152, 162, 187, 198, 207]	75	1.0
131	R_FP	right_FRONTAL_POLE	219	0.0	-1.0	19.66	58.05	-10.62	[62, 107, 116, 139, 151, 188]	75	1.0
132	R_SPlob	right_SUPERIOR_PARIETAL_LOBULE	252	0.0	-1.0	21.08	-52.05	64.17	[1, 35, 84, 112, 143, 200, 203]	76	1.0
133	L_SPlob	left_SUPERIOR_PARIETAL_LOBULE	328	0.0	1.0	-25.29	-51.44	63.42	[65, 83, 111, 119, 129, 144, 165, 199, 204]	76	1.0
134	R_VLPFcor	right_VENTROLATERAL_PREFRONTAL_CORTEX	394	0.0	-1.0	51.5	25.86	1.56	[21, 40, 53, 103, 147, 150, 154, 159, 188, 190]	77	1.0
135	L_CAUDNH_NACC	left_CAUDATE_NUCLEUS_HEAD_and_NUCLEUS_ACCUMBENS	136	0.0	1.0	-9.86	11.77	-11.46	[4, 22, 43, 54, 61, 79, 106, 125, 149, 187, 198]	78	1.0
136	R_CAUDNH_NACC	right_CAUDATE_NUCLEUS_HEAD_and_NUCLEUS_ACCUMBENS	123	0.0	-1.0	8.95	10.63	-11.02	[3, 23, 53, 62, 80, 107, 124, 150, 188, 197]	78	1.0
137	R_COLsul	right_COLLATERAL_SULCUS	237	0.0	-1.0	28.11	-39.22	-14.03	[6, 34, 52, 74, 78, 86, 87, 124, 140, 168, 175, 192, 202]	79	1.0
138	L_COLsul	left_COLLATERAL_SULCUS	327	0.0	1.0	-27.97	-44.01	-11.67	[5, 33, 51, 70, 73, 77, 85, 88, 125, 126, 174, 193, 201]	79	1.0
139	R_L_FP_l	right_left_FRONTAL_POLE_lateral	319	0.0	-1.0	32.1	53.69	-2.82	[102, 131, 151, 159, 188]	80	1.0
140	R_LVISnet_vp	right_LATERAL_VISUAL_NETWORK_ventroposterior	172	0.0	-1.0	42.33	-68.1	-16.46	[67, 72, 78, 87, 105, 137, 146, 168, 175, 202]	81	1.0
141	L_LVISnet_vp	left_LATERAL_VISUAL_NETWORK_ventroposterior	251	0.0	1.0	-41.09	-80.05	-7.82	[68, 71, 88, 104, 145, 174, 183, 201]	81	1.0
142	L_MTgyr_p	left_MIDDLE_TEMPORAL_GYRUS_posterior	338	0.0	1.0	-58.99	-32.78	-5.46	[37, 88, 153, 155, 180, 193, 201, 205]	82	1.0
143	R_DVIS_s	right_DORSAL_VISUAL_STREAM_superior	262	0.0	-1.0	24.5	-57.85	54.22	[35, 41, 84, 112, 121, 132, 166, 176, 200, 203]	83	1.0
144	L_DVIS_s	left_DORSAL_VISUAL_STREAM_superior	176	0.0	1.0	-25.72	-55.99	52.29	[65, 83, 89, 111, 129, 133, 165, 196, 199, 204]	83	1.0
145	L_CERCR1	left_CEREBELLUM_CRUSI	399	0.0	1.0	-36.2	-70.53	-25.71	[71, 77, 95, 141, 157, 167, 174, 201]	84	1.0
146	R_CERCR1	right_CEREBELLUM_CRUSI	393	0.0	-1.0	31.34	-76.23	-23.94	[15, 32, 69, 72, 78, 105, 108, 140, 168, 175, 184, 202, 208]	84	1.0
147	R_AINS_ad	right_ANTERIOR_INSULA_anteroodorsal	364	0.0	-1.0	37.85	22.87	4.84	[17, 21, 23, 40, 44, 53, 102, 103, 134, 154, 159, 188]	85	1.0
148	L_AINS_ad	left_ANTERIOR_INSULA_anteroodorsal	214	0.0	1.0	-34.84	22.92	5.16	[20, 39, 43, 54, 93, 181, 187, 207]	85	1.0
149	L_STgyr_a	left_SUPERIOR_TEMPORAL_GYRUS_anterior	403	0.0	1.0	-41.88	10.14	-21.48	[20, 37, 54, 122, 125, 135, 153, 155, 187, 193, 205, 207]	86	1.0
150	R_STgyr_a	right_SUPERIOR_TEMPORAL_GYRUS_anterior	360	0.0	-1.0	40.61	10.05	-21.83	[21, 36, 53, 57, 123, 124, 134, 136, 154, 182, 188]	86	1.0
151	R_DMPFC_ar	right_DORSOMEDIAL_PREFRONTAL_CORTEX_anterororstral	327	0.0	-1.0	15.94	61.96	13.69	[62, 97, 102, 109, 116, 131, 139]	87	1.0
152	L_DMPFC_ar	left_DORSOMEDIAL_PREFRONTAL_CORTEX_anterororstral	267	0.0	1.0	-15.82	63.7	12.61	[66, 94, 96, 115, 130, 162, 198]	87	1.0
153	L_STgyr_m	left_SUPERIOR_TEMPORAL_GYRUS_middle	275	0.0	1.0	-57.82	-4.19	-1.73	[20, 37, 93, 142, 149, 155, 171, 205, 207]	88	1.0
154	R_STgyr_m	right_SUPERIOR_TEMPORAL_GYRUS_middle	281	0.0	-1.0	57.9	-6.27	-0.14	[21, 36, 40, 57, 92, 134, 147, 150, 163, 170, 190, 206]	88	1.0
155	L_MTgyr_a	left_MIDDLE_TEMPORAL_GYRUS_anterior	478	0.0	1.0	-57.56	-6.45	-20.53	[37, 122, 142, 149, 153, 193, 201, 205]	89	1.0
156	R_L_MTgyr_a	right_left_MIDDLE_TEMPORAL_GYRUS_anterior	59	0.0	-1.0	61.47	-9.08	-24.47	[57, 182, 192]	89	1.0
157	L_CERCR2_p	left_CEREBELLUM_CRUSII_posterior	536	0.0	1.0	-22.79	-80.48	-35.06	[14, 18, 31, 77, 81, 95, 145, 167, 185]	90	1.0
