Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF
20	16	Cerebellum Crus I anterior RH	No network found	No network found	0.44936734692269464	0.28139184165388725	0.02262899587585384
21	17	Supramarginal gyrus antero-superior LH	DorsAttnB	DorsAttnB	0.38268105895359256	0.36745831564518194	0.03035062735789803
22	17	Supramarginal gyrus antero-superior LH	DorsAttnB	DorsAttnB	0.0306505342393865	0.002538233044961747	0.011393200613084808
23	18	Angular sulcus superior LH	DefaultB	DefaultB	0.3921612382678485	0.28002437500576394	0.026034709222552785
24	19	Paracingulate sulcus LH	ContA	SalVentAttnB	0.4126868692951565	0.5077155880719105	0.023265507753837417
25	20	Superior frontal gyrus superior	SalVentAttnA	SomMotA	0.5151718617617593	0.2511412198959822	0.08807754174593256
26	21	Pars triangularis LH	DefaultB	DefaultB	0.5583211001565823	0.07633946884963883	0.1031805896091038
27	22	Superior longitudinal fasciculus II LH	No network found	No network found	0.02296397071654263	0.7135330342288931	0.0003406262557279252
28	23	Corona radiata antero-superior	No network found	No network found	0.012551725063815711	0.6063071339519026	0.0005544953214913052
29	23	Corona radiata antero-superior	No network found	No network found	0.003813857916846373	0.11518159586381814	4.045167161132797e-05
30	24	Dorsomedial prefrontal cortex antero-superior LH	DefaultB	DefaultB	0.47101415491481224	0.16869701358140954	0.08366885416683296
31	25	Superior longitudinal fasciculus III anterior LH	No network found	No network found	0.026818818827254346	0.7716491467027766	1.8480496630486436e-05
32	26	Cuneus antero-inferior	VisCent	VisPeri	0.12215004329159931	0.05427797518129634	0.01969740576185311
33	26	Cuneus antero-inferior	VisCent	VisPeri	0.4269600125482005	0.2211691605673528	0.06788760191931086
34	27	Anterior vertical ramus of the lateral fissure LH	DefaultB	DefaultB	0.42769661636802286	0.2032424130307503	0.0462486369750877
35	28	Corpus callosum isthmus anterior	No network found	No network found	0.06682708014850904	0.13728780794039652	0.11999619138487715
36	28	Corpus callosum isthmus anterior	No network found	No network found	0.06668285156222835	0.13902748054739725	0.11754828367140051
37	29	Internal capsule posterior limb RH	No network found	No network found	0.2051222135569413	0.5935911436327561	0.0016950324254416645
38	30	Cingulate gyrus middle inferior	ContA	ContC	0.4685933685726026	0.22396096206520757	0.07814342014872583
39	31	Caudate RH	No network found	No network found	0.11817319701693756	0.1348646582471049	0.001529175265322068
40	31	Caudate RH	No network found	No network found	0.38423580375904876	0.19330802194832566	0.013141151892042676
41	32	Superior frontal sulcus anterior RH	ContA	ContB	0.4436386205012803	0.4813141640827732	0.03386986546150108
42	33	Pars orbitalis RH	DefaultB	DefaultB	0.5397695765404387	0.24246235631281063	0.04119582636786123
43	34	Cerebellum VIIb	No network found	No network found	0.6391684952982544	0.09344190591127441	0.08133094813214245
44	35	Intraparietal sulcus anterior LH	DorsAttnB	DorsAttnB	0.4640067056169921	0.1273845150675428	0.17632396408582837
45	36	Superior longitudinal fasciculus I posterior RH	No network found	No network found	0.0003898261239122512	0.03720705560786597	6.223799655586867e-07
46	36	Superior longitudinal fasciculus I posterior RH	No network found	No network found	0.027117749730045958	0.8104880580263025	0.00010165803848774336
47	37	Superior longitudinal fasciculus II middle RH	No network found	No network found	0.01896013804378349	0.8836000312105001	3.086076945181682e-05
48	38	Angular gyrus postero-inferior RH	DefaultB	DefaultC	0.5052806057263178	0.11852880568462355	0.05470027493168458
49	39	Cerebrospinal fluid (between middle frontal gyrus and skull)	DefaultB	DefaultB	0.19548771615238045	0.010744767385215202	0.04771956772944639
50	39	Cerebrospinal fluid (between middle frontal gyrus and skull)	DefaultB	DefaultB	0.144658498390065	0.005542497189580127	0.04272889238146998
51	40	Cerebellum III anterior	LimbicA	DefaultC	0.17351567252911176	0.036102094513197965	0.11785796342431416
52	40	Cerebellum III anterior	LimbicA	DefaultC	0.16848471736415807	0.06364692582193072	0.11193261392057491
53	41	Central sulcus middle RH	SomMotA	SomMotA	0.3643654600190752	0.2268216274620071	0.10259735415101293
54	42	Cerebrospinal fluid (between interhemispheric fissure and superior frontal gyrus superio )	SalVentAttnA	SalVentAttnA	0.40932460555573114	0.036484514102580266	0.18751398505420677
55	43	Superior frontal gyrus superior RH	DefaultB	DefaultB	0.4895939414286485	0.19314162730695902	0.045747809068932214
56	44	Frontal pole superior RH	DefaultB	DefaultA	0.43268900072471267	0.07648138442868448	0.07492333619964808
57	45	Postcentral sulcus LH	DorsAttnB	DorsAttnB	0.53765272013996	0.2221326405500969	0.07535523359792685
58	46	Frontomarginal gyrus	DefaultB	DefaultA	0.22482621132717984	0.2646586668888103	0.018407169001952075
59	46	Frontomarginal gyrus	DefaultB	DefaultA	0.08028495153972146	0.108856230791653	0.0037805932392684927
60	47	Paracingulate sulcus posterior RH	SalVentAttnA	SalVentAttnA	0.40811512240537207	0.08235039888986148	0.14207911527818048
61	48	Middle frontal gyrus mid-anterior LH	ContA	SalVentAttnB	0.5156354189013997	0.12067517562624772	0.08286420488254541
62	49	Middle frontal gyrus posterior lateral RH	ContA	ContB	0.45365700043768464	0.19087853639127356	0.0865873696935566
63	50	Intraparietal sulcus superior LH	ContA	ContB	0.34564805552114886	0.06258068731056864	0.1573899463218394
64	51	Ventromedial prefrontal cortex	DefaultB	DefaultA	0.6380949164380586	0.09623222505684692	0.12455843436754101
65	52	Lingual gyrus posterior	VisCent	VisCent	0.5735908564838251	0.13772196580394166	0.1117163727489834
66	53	Insula antero-superior RH	SalVentAttnA	SalVentAttnA	0.6053208833595239	0.06278711182574227	0.09919303534382501
67	54	Caudate superior	No network found	No network found	0.08145804701703814	0.3092326409109241	0.013616347784110082
68	54	Caudate superior	No network found	No network found	0.1583440344573796	0.31641399854835817	0.03759859979654484
69	55	Parieto-occipital sulcus mid-posterior	ContA	ContC	0.3390740744064157	0.3233974679942727	0.04275389256996928
70	56	Globus pallidus anterior	No network found	SalVentAttnB	0.1754764261700486	0.19813426326250375	0.0002786022337212455
71	56	Globus pallidus anterior	No network found	SalVentAttnB	0.15255693989691663	0.18417524134395402	9.22558413406287e-05
72	57	Superior longitudinal fasciculus I anterior LH	No network found	No network found	0.037758939980872284	0.7905272939792676	0.00023980629621517128
73	58	Superior longitudinal fasciculus I anterior RH	No network found	No network found	0.031089782137297926	0.8945226418376674	0.00014993822935492789
74	59	Precentral sulcus mid-inferior LH	DorsAttnB	ContA	0.4627937547601503	0.19041572916431998	0.050523467562437134
75	60	Cerebellum VI superior medial	No network found	No network found	0.7716353498025931	0.020444774531098775	0.15003225665211728
76	61	Postcentral sulcus inferior RH	DorsAttnB	DorsAttnB	0.2390407012510346	0.5228031863786071	0.012804297012802092
77	62	Cuneus middle posterior RH	VisCent	VisPeri	0.3158711765849302	0.27347078727461205	0.041755675571638146
78	63	Cerebrospinal fluid (between middle frontal gyrus superior and skull LH)	DefaultB	ContB	0.45089050374006573	0.04928485103401057	0.12164700691381015
79	64	Paracingulate gyrus posterior LH	SomMotA	SomMotA	0.5640539563484659	0.23325281299788825	0.11147515468550274
80	65	Precentral gyrus mid-superior 	SomMotA	DorsAttnB	0.09436810631563039	0.017471843794345722	0.04302782122224308
81	65	Precentral gyrus mid-superior 	SomMotA	DorsAttnB	0.3253281371638465	0.058619252624986365	0.1277466060360668
82	66	Superior temporal gyrus mid-anterior LH	DefaultB	TempPar	0.6643107190567423	0.07985817769917887	0.08865678754453367
83	67	Fusiform gyrus anterior	VisCent	DefaultC	0.43788426343658327	0.09214697133727506	0.037033084313792666
84	67	Fusiform gyrus anterior	VisCent	DefaultC	0.30430623318762806	0.0570878260070281	0.02249905847311455
85	68	Superior frontal gyrus medial anterior	DefaultB	DefaultA	0.5766948028716138	0.0903153730112884	0.19087800658969015
86	69	Superior frontal gyrus mid-posterior 	ContA	SalVentAttnB	0.05705154705433881	0.0547592914165996	0.004505125570257271
87	69	Superior frontal gyrus mid-posterior 	ContA	SalVentAttnB	0.37402549307563654	0.3061162454230894	0.029941566086408588
88	70	Cerebellum IX	No network found	No network found	0.4472781643542651	0.11232064234230452	0.058461505120714574
89	71	Thalamus posterior	No network found	No network found	0.30648817117782695	0.1002922247509427	0.0037149135170024185
90	72	Globus pallidus RH	No network found	No network found	0.023286977123729388	0.1409877985333921	0.0003110333497129202
91	72	Globus pallidus RH	No network found	No network found	0.13663770169642095	0.6109803255488495	0.00014898933718778093
92	73	Postcentral sulcus RH	SomMotA	SomMotA	0.3588593609729911	0.3869430917349218	0.054473796754520354
93	74	Thalamus superior	No network found	No network found	0.25584892109998975	0.25039918312558157	5.808381299850669e-05
94	74	Thalamus superior	No network found	No network found	0.21771646384514926	0.20636641042496734	2.636375790476916e-05
95	75	Superior occipital sulcus superior LH	DorsAttnB	DorsAttnA	0.44952270989960985	0.2957818806708174	0.10987784991209415
96	76	Supramarginal gyrus posterior LH	ContA	SalVentAttnB	0.6052612464410476	0.2231616979420695	0.08613641873165985
97	77	Gyrus rectus	LimbicA	LimbicB	0.5514678851554853	0.27710489587119164	0.11418430818787005
98	78	Anterior occipital sulcus RH	VisCent	VisCent	0.4783457383395276	0.2521050643187966	0.025129906526191806
99	79	Lateral fissure anterior	SalVentAttnA	TempPar	0.05293472558148382	0.0001839793132341557	0.048359331102114475
100	79	Lateral fissure anterior	SalVentAttnA	TempPar	0.41946874968881265	0.01970003094847291	0.2397518680250284
101	80	Corona radiata posterior LH	No network found	No network found	0.012650623967565137	0.7052591994710903	2.2491929950979153e-05
102	81	Cerebellum V anterior	VisCent	DefaultC	0.3576677244049114	0.005240735612883589	0.06276694422514519
103	81	Cerebellum V anterior	VisCent	DefaultC	0.40294652099270917	0.00751494202601852	0.07032022871432055
104	82	Parieto-occipital sulcus mid-anterior	VisCent	DefaultC	0.4066885465818897	0.047331152770201154	0.06484651746933717
105	82	Parieto-occipital sulcus mid-anterior	VisCent	DefaultC	0.21732751851313734	0.032364502445588694	0.023545148515149255
106	83	Hippocampus anterior	No network found	No network found	0.36300497619407546	0.0729315878562714	0.057348853557674946
107	83	Hippocampus anterior	No network found	No network found	0.3223224459560408	0.06945147170493686	0.04975455663066218
108	84	Superior frontal gyrus mid-anterior LH	DefaultB	DefaultB	0.47472817842666903	0.3084488458191861	0.04447577715259905
109	85	Cerebellum Crus II anterior LH	No network found	No network found	0.6643468146941895	0.2494251217434442	0.027953064332551746
110	86	Intraparietal sulcus middle RH	DorsAttnB	ContA	0.5078002791446139	0.29803078628988655	0.05930598972886875
111	87	Parieto-occipital sulcus posterior lateral	VisCent	VisPeri	0.19979846222263142	0.30340171153030604	0.02101801015838805
112	87	Parieto-occipital sulcus posterior lateral	VisCent	VisPeri	0.08447360801231273	0.1029624240796148	0.010886927193500921
113	88	Occipital pole LH	VisCent	VisCent	0.4560470254986323	0.4042193363805866	0.06062031423542136
114	89	Corticospinal tract superior	No network found	No network found	0.007550497577453529	0.5284230480684086	2.9294340531346346e-06
115	89	Corticospinal tract superior	No network found	No network found	0.006231357084528785	0.332976732533904	1.7237157681289592e-06
116	90	Cingulate gyrus middle superior	SalVentAttnA	SalVentAttnA	0.6680218362478336	0.03197033642644064	0.1893881361451131
117	91	Parieto-occipital sulcus anterior	DefaultB	DefaultC	0.4096882044439949	0.18830268460331467	0.02238702935612058
118	92	Cererbrospinal fluid (between callosomarginal sulcus and skull LH)	DorsAttnB	DorsAttnB	0.4203180887567262	0.0758424312078206	0.23398599551227836
119	93	Occipitotemporal gyrus posterior RH	DorsAttnB	DorsAttnA	0.5013937539350755	0.30058177944197917	0.021190137614177176
120	94	Insula postero-superior lateral LH	SomMotA	SomMotB	0.6381005648729742	0.23851703838824886	0.05596391758003232
121	95	Superior frontal gyrus posterior LH	DorsAttnB	DorsAttnB	0.40565542622255507	0.11139365014967577	0.12475673092203851
122	95	Superior frontal gyrus posterior LH	DorsAttnB	DorsAttnB	0.04735284420652158	0.012586690963101381	0.015229585365968782
123	96	Inferior frontal sulcus middle RH	ContA	ContA	0.5126305409296316	0.19644553150469593	0.059678608273128715
124	97	Postcentral gyrus middle LH	SomMotA	SomMotA	0.37414057753580926	0.13729918040966652	0.12113696817841649
125	98	Arcuate fasciculus postero-inferior LH	No network found	SomMotB	0.07230248642847857	0.9010064446685904	0.0006218460828758304
126	99	Angular gyrus anterior RH	SalVentAttnA	SalVentAttnB	0.5343636261138157	0.1727468123110929	0.08910600257398076
127	100	Angular sulcus inferior RH	DefaultB	DefaultA	0.45517532562774937	0.373997467311843	0.033097950436557146
128	101	Temporal pole LH	DefaultB	DefaultB	0.5687878583864379	0.09043778016958744	0.05336142261466118
129	102	Paracentral lobule inferior LH	SomMotA	SomMotA	0.5223706023448571	0.17118063129338895	0.15981684290976714
130	103	Precentral sulcus medial	SomMotA	SomMotA	0.5119419314803949	0.14240351291112097	0.19517153631385256
131	104	Dorsomedial prefrontal cortex LH	DefaultB	DefaultB	0.6056099518884521	0.17064290388610334	0.2006582110250938
132	105	Amygdala inferior	No network found	LimbicA	0.4343955642772748	0.017718569756668665	0.027227179323327393
133	105	Amygdala inferior	No network found	LimbicA	0.39017426658511095	0.007501087902488891	0.022555801838836025
134	106	Perirhinal cortex	LimbicA	LimbicA	0.13372277896195098	0.06958838027135701	0.006966279090481058
135	106	Perirhinal cortex	LimbicA	LimbicA	0.3148391675435826	0.19654107946632796	0.018495944051988067
136	107	Cuneus middle	VisCent	VisPeri	0.5817231347658285	0.18860554676410235	0.09689504672056809
137	108	Callosomarginal sulcus middle	SomMotA	SomMotA	0.07697260948947647	0.1994670850199655	0.00399135316205515
138	108	Callosomarginal sulcus middle	SomMotA	SomMotA	0.10513832879724921	0.348725852098197	0.004275117410092281
139	109	Lunate sulcus RH	VisCent	VisCent	0.4226817514896838	0.458444410873248	0.03032880242522023
140	110	Putamen superior	No network found	No network found	0.015298903868184043	0.1679809712436826	3.5227589659700946e-06
141	110	Putamen superior	No network found	No network found	0.07886042692044698	0.6084680049399508	1.6008426451531094e-05
142	111	Putamen LH	No network found	No network found	0.3773008591514194	0.47834813841628976	1.6489463460003347e-05
143	112	Frontal pole	DefaultB	DefaultA	0.45535206380762033	0.05132562806601939	0.11525416324369323
144	113	Forceps minor	No network found	No network found	0.0016122885031978839	0.4545338500513981	6.392325600083686e-07
145	113	Forceps minor	No network found	No network found	0.0011061950499515975	0.3298608866844343	2.300610162445474e-06
146	114	Superior temporal gyrus medial anterior	LimbicA	LimbicA	0.31729160573721366	0.03641820939379742	0.15282779653567946
147	114	Superior temporal gyrus medial anterior	LimbicA	LimbicA	0.2659949524080034	0.012313184578059761	0.13985824151717288
148	115	Middle frontal gyrus anterior RH	ContA	SalVentAttnB	0.5542370285566817	0.1799774693672205	0.08303063648344501
149	116	Planum polare superior	SalVentAttnA	SomMotB	0.2967366281452914	0.018336063179252758	0.14386365184913835
150	116	Planum polare superior	SalVentAttnA	SomMotB	0.15839736697679854	0.0010843005688065434	0.0942209324191005
151	117	Dorsomedial prefrontal cortex posterior	ContA	ContB	0.6072785703243432	0.034575660618819205	0.24091871831350137
152	118	Superior frontal gyrus postero-superior LH	SalVentAttnA	SalVentAttnB	0.5681152463067931	0.13350929992258606	0.09638819695237742
153	119	Supramarginal gyrus postero-superior RH	ContA	ContB	0.5060740597776182	0.4281518591403336	0.04889908539484356
154	120	Amygdala	No network found	No network found	0.25170317802120323	0.03316233579010102	0.0412312509379183
155	120	Amygdala	No network found	No network found	0.35913178455151445	0.05781922087430694	0.06524117759593044
156	121	Cerebellum VI medial RH	No network found	No network found	0.8043601096549025	0.07254753263317294	0.01938928201750654
157	122	Lingual gyrus medial	VisCent	VisPeri	0.6585039892141771	0.07360755513573099	0.22356698948890535
158	123	Cuneus anterior RH	VisCent	VisPeri	0.40874726414490486	0.3915507595689135	0.042959588783347255
159	124	Superior frontal sulcus middle LH	DefaultB	DefaultA	0.489019103301663	0.1957877347809638	0.08163648980753226
160	125	Cerebellum IX inferior	No network found	No network found	0.48592994686783264	0.3108722423177199	0.05075833044113612
161	126	Cingulum anterior	No network found	SalVentAttnB	0.033542138382085834	0.16018203066470915	0.0003277736180313417
162	126	Cingulum anterior	No network found	SalVentAttnB	0.04617032261403918	0.2976036953483233	0.0003163424634220155
163	126	Cingulum anterior	No network found	SalVentAttnB	0.049788441865235074	0.22162941753553114	0.0008976580347195708
164	127	Inferior temporal sulcus mid-posterior RH	DorsAttnB	ContA	0.6511371999842764	0.24546932697850032	0.036572724138453
165	128	Cerebellum VI superior LH	No network found	VisPeri	0.7311462775717329	0.015543858195131714	0.14071352984112756
166	129	Optic radiation LH	No network found	No network found	0.04603105626393013	0.7952165169504739	0.00019156552264601123
167	130	Corpus callosum genu inferior	No network found	No network found	0.2539286554822131	0.3423441911512087	0.19953784156969306
168	131	Precuneus mid-superior LH	DorsAttnB	ContC	0.4721707669313096	0.22751843227883392	0.08713180687470443
169	132	Postcentral gyrus mid-inferior	SomMotA	SomMotB	0.29163413126699816	0.09845398555205506	0.055358287324549026
170	132	Postcentral gyrus mid-inferior	SomMotA	SomMotB	0.27469090932067464	0.11240763698347517	0.04621219947890657
171	133	Inferior frontal sulcus posterior LH	ContA	ContA	0.3398625144757507	0.46533364789303766	0.013959963667356566
172	134	Lateral occipital cortex posterior LH	VisCent	VisCent	0.5079878542279355	0.1201562527408414	0.11051528833283346
173	135	Angular gyrus mid-posterior RH	DefaultB	DefaultA	0.46802082401904327	0.2549291292045161	0.039432614359192035
174	136	Temporal pole	LimbicA	LimbicA	0.25473811770923005	0.09910307294084668	0.015092422221995376
175	136	Temporal pole	LimbicA	LimbicA	0.3169626686091374	0.10090227022292848	0.02036024560453317
176	137	Cerebellum Crus II posterior LH	No network found	No network found	0.6360020935327972	0.09375045736240725	0.041670128905810455
177	138	Superior temporal sulcus posterior LH	DorsAttnB	DorsAttnA	0.2678052012012543	0.3807180171340738	0.012141733517336098
178	138	Superior temporal sulcus posterior LH	DorsAttnB	DorsAttnA	0.02519342575038896	0.06655381267344221	0.0006593455821448733
179	139	Cerebrospinal fluid (between superior precentral gyrus and skull)	SomMotA	SomMotA	0.40162335598867066	0.26964674036766745	0.10617311328777901
180	140	Lunate sulcus LH	VisCent	VisCent	0.3445108887411266	0.3521118298527135	0.022708903364746496
181	141	Cerebellum Crus I medial RH	No network found	No network found	0.728415501613067	0.1223594015043269	0.025829020293984175
182	142	Posterior cingulate cortex LH	DefaultB	DefaultA	0.6370997782200742	0.22445811954193573	0.07845078015546778
183	143	Precuneus anterior	SalVentAttnA	SalVentAttnA	0.30743412038658624	0.07559889186270943	0.09578218459850452
184	143	Precuneus anterior	SalVentAttnA	SalVentAttnA	0.24085635275177833	0.035923153770098006	0.10244658567870249
185	144	Intraparietal sulcus middle LH	DorsAttnB	ContA	0.42216368498939527	0.24863248713117636	0.09776666480786085
186	145	Lingual gyrus middle	VisCent	VisPeri	0.4205692482588981	0.05337757195782916	0.09464239220784254
187	146	Superior temporal gyrus posterior RH	SalVentAttnA	TempPar	0.5501996701092086	0.3049264178714849	0.05029479720216949
188	147	Lateral orbital cortex	DefaultB	DefaultB	0.43937612038677326	0.07289271082463203	0.03483825286616894
189	147	Lateral orbital cortex	DefaultB	DefaultB	0.27604675726995614	0.04030248559461697	0.02096858386224822
190	148	Pons antero-superior	No network found	No network found	0.3776644073692398	0.2891589840872405	0.14594337603276922
191	149	Middle frontal sulcus anterior	SalVentAttnA	SalVentAttnB	0.007754288051064712	0.06609032999642198	4.838009376406628e-05
192	149	Middle frontal sulcus anterior	SalVentAttnA	SalVentAttnB	0.1488746711333186	0.531468170258892	0.002658289593747152
193	150	Occipital pole superior LH	VisCent	VisCent	0.3739555544663701	0.30192668906392783	0.041519705507349694
194	151	Lingual gyrus mid-posterior LH	VisCent	VisCent	0.4178641981440652	0.33931864195006606	0.02103420941296738
195	152	Posterior cingulate cortex superior	DefaultB	ContC	0.7174252330305314	0.09954428313854978	0.1591958164903153
196	153	Inferior frontal sulcus posterior RH	ContA	ContA	0.4699457514572001	0.1933024665127304	0.04862579097748581
197	154	Cerebrospinal fluid (between angular gyrus and skull LH)	DefaultB	DefaultA	0.42449885676932453	0.030487290707507064	0.1401010025172553
198	155	Intraparietal sulcus mid-anterior LH	ContA	ContA	0.4714624194939931	0.47354289240651554	0.04010327242757449
199	156	Arcuate fasciculus postero-inferior RH	No network found	TempPar	0.19796736833113068	0.6316089620173624	0.004968696476033146
200	157	Frontal pole lateral RH	ContA	ContB	0.42840427734702796	0.054567585974743336	0.09283555396402923
201	158	Cerebellum VIIIb inferior 	No network found	No network found	0.38645084656759093	0.04854145397441084	0.005127077282718783
202	158	Cerebellum VIIIb inferior 	No network found	No network found	0.37164486445471057	0.04139279640360419	0.008322678752713785
203	159	Parieto-occipital sulcus middle superior LH	VisCent	ContC	0.5304159509794698	0.16506402557778121	0.08197157829061912
204	160	Anterior rami of the lateral fissure RH	SalVentAttnA	SalVentAttnB	0.5386642368006901	0.24072558504277217	0.06739161670371283
205	161	Cingulate gyrus mid-posterior 	SalVentAttnA	SalVentAttnA	0.7495063372380151	0.07463243526173585	0.13446392962467468
206	162	Superior frontal sulcus posterior LH	DorsAttnB	ContA	0.39949081249250956	0.23777112103654446	0.045208447328724144
207	163	Superior longitudinal fasciculus I posterior LH	DorsAttnB	DorsAttnB	0.17740664274518855	0.4533362151150248	0.015500581158973958
208	164	Cerebellum IV inferior	No network found	No network found	0.2743608582072636	0.12991417701959365	0.012340733119006967
209	164	Cerebellum IV inferior	No network found	No network found	0.2989218755388768	0.13614399797343318	0.013152687030476583
210	165	Corona radiata superior	No network found	No network found	0.004040394299215655	0.552177924068507	1.740217967292827e-06
211	165	Corona radiata superior	No network found	No network found	0.0032334051278169085	0.18982749125276746	3.034542501054928e-06
212	166	Insula postero-superior lateral	SomMotA	SomMotB	0.10326350918113186	0.0039613137092641415	0.03202801074671862
213	166	Insula postero-superior lateral	SomMotA	SomMotB	0.5902104257287103	0.024259179464669125	0.14380220423456508
214	167	Middle frontal gyrus posterior LH	DefaultB	DefaultB	0.501474130623055	0.23686165071129597	0.06933217174402993
215	168	Third ventricle	No network found	No network found	0.41037069111767754	0.16056955788545926	0.3571269272531901
216	169	Precentral gyrus middle LH	DorsAttnB	DorsAttnB	0.3811537055834269	0.33363965452267585	0.03521848191937421
217	170	Callosal sulcus posterior	ContA	ContC	0.39728192758435094	0.2566029282676562	0.05357402779021858
218	171	Angular gyrus superior LH	DefaultB	DefaultA	0.44453721061474916	0.31086780484549764	0.04056267770256084
219	172	Superior occipital gyrus LH	VisCent	DorsAttnA	0.45072194972158314	0.20659002809379245	0.08469699907722188
220	173	Superior longitudinal fasciculus II posterior RH	No network found	ContA	0.12912043858451244	0.6590724649112298	0.0028718954491247376
221	174	Superior frontal gyrus anterior	DefaultB	DefaultB	0.1225431807301485	0.2310613599166661	0.009168574646917976
222	174	Superior frontal gyrus anterior	DefaultB	DefaultB	0.16386036674095245	0.23822968665463046	0.01282090507038098
223	175	Cuneus posterior RH	VisCent	VisCent	0.3028439644418615	0.43439755729308843	0.022444943374966136
224	176	Superior parts of central and postcentral sulci 	SomMotA	SomMotA	0.15440103720835882	0.09442250027577338	0.06469144266406267
225	176	Superior parts of central and postcentral sulci 	SomMotA	SomMotA	0.09674286652811781	0.10182493119350972	0.02226884586081577
226	177	Calcarine sulcus mid-anterior	VisCent	VisPeri	0.32281912923432976	0.2642050473062018	0.06149050244173442
227	177	Calcarine sulcus mid-anterior	VisCent	VisPeri	0.091394686647043	0.06835532266431678	0.022506007623104826
228	178	Middle temporal gyrus medial LH	SalVentAttnA	SalVentAttnA	0.3830749661489425	0.5622806777180972	0.021404558982846496
229	179	Occipital pole lateral LH	VisCent	VisCent	0.3990013289943189	0.26223477543352397	0.08188709256905236
230	179	Occipital pole lateral LH	VisCent	VisCent	0.029527679698939803	0.017498728213836127	0.0034551939712705333
231	180	Fusiform gyrus middle superior RH	VisCent	VisCent	0.44068153811731453	0.36326950081863185	0.021971219802798387
232	181	Cerebrospinal fluid (between superior parietal lobule and skull RH)	SomMotA	DorsAttnB	0.29228762046908063	0.06271502861651294	0.13248685297245338
233	182	Cerebrospinal fluid (between superior frontal gyrus and skull)	DefaultB	DefaultB	0.3725430797589487	0.00873373041954708	0.1399214722557824
234	183	Planum temporale	SomMotA	SomMotB	0.26839226761223334	0.4429944494491635	0.00756263408391148
235	183	Planum temporale	SomMotA	SomMotB	0.042258213328045656	0.020318601337811774	0.002866704414393833
236	184	Subcentral gyrus RH	SomMotA	SomMotB	0.4340764508139632	0.08274976252672885	0.09098488253189263
237	185	Middle frontal sulcus anterior LH	SalVentAttnA	SalVentAttnB	0.48403001149148317	0.200994212915571	0.062187935402055264
238	186	Anterior cingulate cortex	DefaultB	DefaultA	0.6629699807680973	0.09854575733968222	0.1332434654116393
239	187	Inferior occipital gyrus	VisCent	VisCent	0.1956292611631947	0.033742588065650225	0.028733036033232528
240	187	Inferior occipital gyrus	VisCent	VisCent	0.4506867685431869	0.08308141934940683	0.034078317244124426
241	188	Cerebrospinal fluid (between superior frontal gyrus lateral RH and skull)	DefaultB	DefaultA	0.347187730656159	0.014933164415138115	0.0914579639252466
242	189	Arcuate fasciculus postero-superior	SalVentAttnA	SalVentAttnA	0.28086872746623903	0.38337898288035255	0.018836331406758115
243	190	Superior frontal sulcus anterior LH	SalVentAttnA	SalVentAttnB	0.4600657034346316	0.23970543850702228	0.05686810468427594
244	191	Cingulum middle	SalVentAttnA	SalVentAttnA	0.10298296021016785	0.362122356309302	0.000934005215377968
245	192	Frontal pole medial	DefaultB	DefaultA	0.44464394724477047	0.16039289719724303	0.10460921380205804
